Cell C43: Value=Oloff die Seerower Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell D43: Value=Oloff the Pirate Series (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell A44: Value=1. Gemaskerde Moordenaars, Bold=False, FillType=None, Color=00000000
Cell B44: Value=1. Masked Murderers, Bold=False, FillType=None, Color=00000000
Cell C44: Value=1. Die Swaardvegter, Bold=False, FillType=None, Color=00000000
Cell D44: Value=1. Master of the Sword, Bold=False, FillType=None, Color=00000000
Cell A45: Value=2. Die Mensvreters van Tsawo, Bold=False, FillType=None, Color=00000000
Cell B45: Value=2. The Maneaters of Tsavo, Bold=False, FillType=None, Color=00000000
Cell C45: Value=2. Die Seewraak, Bold=False, FillType=None, Color=00000000
Cell D45: Value=2. Sea of Vengeance, Bold=False, FillType=None, Color=00000000
Cell A46: Value=3. Die Bloedboodskap, Bold=False, FillType=None, Color=00000000
Cell B46: Value=3. The Blood Message, Bold=False, FillType=None, Color=00000000
Cell C46: Value=3. Die Skuim van die See, Bold=False, FillType=None, Color=00000000
Cell D46: Value=3. Scum of the Seas, Bold=False, FillType=None, Color=00000000
Cell A47: Value=4. Kamerade van die Draak, Bold=False, FillType=None, Color=00000000
Cell B47: Value=4. Comrades of the Dragon, Bold=False, FillType=None, Color=00000000
Cell C47: Value=4. Kaptein Oloff, Bold=False, FillType=None, Color=00000000
Cell D47: Value=4. Captain Oloff the Pirate, Bold=False, FillType=None, Color=00000000
Cell A48: Value=5. Die Kruipende Dood, Bold=False, FillType=None, Color=00000000
Cell B48: Value=5. The Creeping Death, Bold=False, FillType=None, Color=00000000
Cell C48: Value=5. Die Verraaier, Bold=False, FillType=None, Color=00000000
Cell D48: Value=5. The Traitor, Bold=False, FillType=None, Color=00000000
Cell A49: Value=6. Die Galg in die Oerwoud, Bold=False, FillType=None, Color=00000000
Cell B49: Value=6. The Gallows in the Jungle, Bold=False, FillType=None, Color=00000000
Cell C49: Value=6. Drie Vreemde Kapers, Bold=False, FillType=None, Color=00000000
Cell D49: Value=6. Black Horizon, Bold=False, FillType=None, Color=00000000
Cell A50: Value=7. Die Eiland van die Blou Duiwels, Bold=False, FillType=None, Color=00000000
Cell B50: Value=7. The Island of the Blue Devils, Bold=False, FillType=None, Color=00000000
Cell C50: Value=7. Die Losprys, Bold=False, FillType=None, Color=00000000
Cell D50: Value=7. The Ransom, Bold=False, FillType=None, Color=00000000
Cell A51: Value=8. Pyle van Vuur, Bold=False, FillType=None, Color=00000000
Cell B51: Value=8. Arrows of Fire, Bold=False, FillType=None, Color=00000000
Cell C51: Value=8. Die Valk in die Kraaines, Bold=False, FillType=None, Color=00000000
Cell D51: Value=8. Falcon in the Crow’s Nest, Bold=False, FillType=None, Color=00000000
Cell A52: Value=9. Die Mense van die Meer, Bold=False, FillType=None, Color=00000000
Cell B52: Value=9. The People of the Lake, Bold=False, FillType=None, Color=00000000
Cell C52: Value=9. Die Spioen, Bold=False, FillType=None, Color=00000000
